1 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Income Statement | 7 | 1 | Income Statement Whereas | Income Statement Whereas the balance sheet shows a company’s | 2 | 1 | 0 | 
1594 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | Calling in a Specialist | 33 | 16 | Calling in a Specialist C | Calling in a Specialist Converting ill-gotten gains into cas | 2 | 1 | 0 | 
1595 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | Calling in a Specialist | 33 | 16 | White-collar professional | White-collar professionals, such as attorneys, accountants,  | 1 | 1 | 0 | 
1596 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | Calling in a Specialist | 33 | 16 | Financial Transactions  M | Financial Transactions  Money Laundering 2011 Fraud Examiner | 2 | 2 | 0 | 
1597 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | SHELL COMPANIES | 17 | 17 | SHELL COMPANIES Money lau | SHELL COMPANIES Money launderers often use shell companies,  | 2 | 1 | 0 | 
1598 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | Shell Companies | 28 | 18 | Shell Companies Shell com | Shell Companies Shell companies refer to non-publicly traded | 3 | 2 | 0 | 
1599 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | How It Works | 35 | 19 | How It Works Hawala netwo | How It Works Hawala networks operate with the non-physical t | 3 | 1 | 0 | 
1600 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | How It Works | 35 | 19 | EXAMPLE 1.  Ana in New Yo | EXAMPLE 1.  Ana in New York contacts and gives $5,000 in cas | 3 | 2 | 0 | 
1601 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | How It Works | 35 | 19 | The hawala exchange is a | The hawala exchange is a tempting opportunity for many becau | 1 | 1 | 0 | 
1602 | Money Laundering 15 | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | Insurance Companies | 26 | 20 | Insurance Companies Due t | Insurance Companies Due to the recent growth in the financia | 3 | 2 | 0 | 
1603 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Depositing Cash and Writing Checks in Excess of Reported Revenues and Expenses (Balance Sheet Laundering) | 9 | 1 | Depositing Cash and Writi | Depositing Cash and Writing Checks in Excess of Reported Rev | 4 | 2 | 1 | 
1604 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Depositing Cash and Writing Checks in Excess of Reported Revenues and Expenses (Balance Sheet Laundering) | 9 | 1 | EXAMPLE ABC Used Cars dep | EXAMPLE ABC Used Cars deposits an additional $30,000 per mon | 13 | 8 | 0 | 
1605 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Depositing Cash and Writing Checks in Excess of Reported Revenues and Expenses (Balance Sheet Laundering) | 9 | 1 | This type of scheme can b | This type of scheme can be detected by examining the revenue | 2 | 3 | 0 | 
1606 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Detection | 97 | 2 | Detection Insurance compa | Detection Insurance companies must file all appropriate repo | 1 | 2 | 0 | 
1607 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Detection | 97 | 2 | Certain other reports can | Certain other reports can help companies identify suspicious | 6 | 2 | 0 | 
1608 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Detection | 97 | 2 | The Tracing Illicit Trans | The Tracing Illicit Transactions” chapter in the Investigati | 16 | 3 | 0 | 
1609 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Detection | 97 | 2 | Issuer’s name(s) and seri | Issuer’s name(s) and serial number(s) of the monetary instru | 0 | 2 | 0 | 
1610 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Detection | 97 | 2 | % (see instructions)Taxpa | % (see instructions)Taxpayer identification numberBail recei | 10 | 3 | 0 | 
1611 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Detection | 97 | 2 | Part III  Item 28. Enter | Part III  Item 28. Enter the date you received the cash. If  | 11 | 2 | 0 | 
1612 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Overstatement of Reported Revenues | 7 | 3 | Overstatement of Reported | Overstatement of Reported Revenues Overstating revenues, als | 3 | 2 | 0 | 
1613 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Overstatement of Reported Revenues | 7 | 3 | EXAMPLE ABC Used Cars enc | EXAMPLE ABC Used Cars encourages customers to pay with cash. | 3 | 2 | 0 | 
1614 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Overstatement of Reported Expenses | 8 | 4 | Overstatement of Reported | Overstatement of Reported Expenses The disadvantage of overs | 2 | 2 | 0 | 
1615 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Overstatement of Reported Expenses | 8 | 4 | Overstating expenses can | Overstating expenses can be accomplished very easily by repo | 0 | 1 | 0 | 
1616 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Overstatement of Reported Expenses | 8 | 4 | EXAMPLE ABC Used Cars rep | EXAMPLE ABC Used Cars reports wages for three mechanics and  | 3 | 2 | 0 | 
1617 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Overstatement of Reported Expenses | 8 | 4 | Income statement launderi | Income statement laundering, which includes both overstated  | 1 | 1 | 0 | 
1618 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Special Problems for Insurance Companies | 95 | 5 | Special Problems for Insu | Special Problems for Insurance Companies Although financial  | 2 | 3 | 0 | 
1619 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Special Problems for Insurance Companies | 95 | 5 | The most common form of m | The most common form of money laundering that insurance comp | 6 | 3 | 0 | 
1620 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | ATMs | 22 | 6 | ATMs Law enforcement offi | ATMs Law enforcement officials are also reporting an  increa | 2 | 2 | 0 | 
1621 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | ATMs | 22 | 6 | The ATM banking system de | The ATM banking system debits the cardholders account and cr | 8 | 5 | 0 | 
1622 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Favorite Businesses for Hiding or Laundering Money | 10 | 7 | Favorite Businesses for H | Favorite Businesses for Hiding or Laundering Money In genera | 5 | 2 | 0 | 
1623 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Sharing Information Between Financial Institutions | 46 | 8 | Sharing Information Betwe | Sharing Information Between Financial Institutions Pursuant  | 6 | 2 | 0 | 
1624 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Sharing Information Between Financial Institutions | 46 | 8 | Section 355 of the Act al | Section 355 of the Act also permits insured depository insti | 0 | 2 | 0 | 
1625 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Gift Cards | 23 | 9 | Gift Cards Although gift | Gift Cards Although gift cards are a convenient way to show  | 3 | 2 | 0 | 
1626 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Gift Cards | 23 | 9 | Although closed-cards can | Although closed-cards can only be used at certain locations, | 3 | 2 | 0 | 
1627 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Gift Cards | 23 | 9 | Even for open-system card | Even for open-system cards purchased at financial institutio | 4 | 2 | 0 | 
1628 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Gift Cards | 23 | 9 | Money launderers can anon | Money launderers can anonymously purchase stored-value cards | 2 | 2 | 0 | 
1629 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Policy Statement | 89 | 10 | Policy Statement All enti | Policy Statement All entities covered under the reporting an | 3 | 2 | 0 | 
1630 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FORFEITURE OF FUNDS IN INTERBANK ACCOUNTS | 76 | 11 | FORFEITURE OF FUNDS IN IN | FORFEITURE OF FUNDS IN INTERBANK ACCOUNTS Section 319 of the | 3 | 3 | 0 | 
1631 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FORFEITURE OF FUNDS IN INTERBANK ACCOUNTS | 76 | 11 | If funds involved in a mo | If funds involved in a money laundering transaction or the p | 5 | 2 | 0 | 
1632 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FINANCIAL INSTITUTIONS | 55 | 12 | FINANCIAL INSTITUTIONS Th | FINANCIAL INSTITUTIONS The BSA also requires financial insti | 2 | 2 | 0 | 
1633 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FINANCIAL INSTITUTIONS | 55 | 12 | The Office of the Comptro | The Office of the Comptroller of the Currency (OCC), which c | 3 | 2 | 0 | 
1634 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FINANCIAL INSTITUTIONS | 55 | 12 | Financial institutions ar | Financial institutions are also required to use SAR forms to | 1 | 1 | 0 | 
1635 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FINANCIAL INSTITUTIONS | 55 | 12 | SARs are used to report a | SARs are used to report a known or suspected criminal offens | 5 | 2 | 0 | 
1636 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FINANCIAL INSTITUTIONS | 55 | 12 | When a financial institut | When a financial institution reports a suspicious transactio | 3 | 2 | 0 | 
1637 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | FINANCIAL INSTITUTIONS | 55 | 12 | A copy of the SAR report | A copy of the SAR report form is included at the end of this | 1 | 4 | 0 | 
1638 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Government Access to Financial Information | 47 | 13 | Government Access to Fina | Government Access to Financial Information On September 18,  | 4 | 2 | 0 | 
1639 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Government Access to Financial Information | 47 | 13 | The information reported | The information reported is limited to the name or account n | 1 | 2 | 0 | 
1640 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Government Access to Financial Information | 47 | 13 | The institution may not d | The institution may not disclose the information to anyone o | 2 | 1 | 0 | 
1641 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Government Access to Financial Information | 47 | 13 | The term financial instit | The term financial institution” is defined as it is under th | 1 | 1 | 0 | 
1642 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title I — Recordkeeping | 50 | 14 | Title I — Recordkeeping T | Title I — Recordkeeping The regulations governing recordkeep | 5 | 2 | 0 | 
1643 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title I — Recordkeeping | 50 | 14 | In addition to these requ | In addition to these requirements, financial institutions ar | 1 | 1 | 0 | 
1644 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title I — Recordkeeping | 50 | 14 | Banks also must retain, f | Banks also must retain, for two years, all records necessary | 1 | 1 | 0 | 
1645 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title I — Recordkeeping | 50 | 14 | Although some of these re | Although some of these requirements apply only to checks wri | 4 | 1 | 0 | 
1646 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title I — Recordkeeping | 50 | 14 | The penalties for failure | The penalties for failure to comply with these recordkeeping | 1 | 1 | 0 | 
1647 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title I — Recordkeeping | 50 | 14 | Financial Transactions  M | Financial Transactions  Money Laundering 2011 Fraud Examiner | 2 | 2 | 0 | 
1648 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | MONEY SERVICES BUSINESSES | 56 | 15 | MONEY SERVICES BUSINESSES | MONEY SERVICES BUSINESSES Even before the passage of the PAT | 2 | 2 | 0 | 
1649 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | MONEY SERVICES BUSINESSES | 56 | 15 | In August 1999, many of t | In August 1999, many of the reporting and registration oblig | 1 | 2 | 0 | 
1650 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | MONEY SERVICES BUSINESSES | 56 | 15 | Under the rules (1) money | Under the rules (1) money transmitters, (2) issuers, sellers | 1 | 2 | 0 | 
1651 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | MONEY SERVICES BUSINESSES | 56 | 15 | The reportable transactio | The reportable transactions include: • Transactions involvin | 4 | 2 | 0 | 
1652 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | MONEY SERVICES BUSINESSES | 56 | 15 | MSBs are given 30 days af | MSBs are given 30 days after becoming aware of a suspicious  | 2 | 2 | 0 | 
1653 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | Title II — Reporting and | Title II — Reporting and Recordkeeping Title II of the Bank  | 3 | 2 | 0 | 
1654 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | The regulations promulgat | The regulations promulgated by the U.S. Treasury Department  | 0 | 2 | 0 | 
1655 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | CURRENCY TRANSACTION REPO | CURRENCY TRANSACTION REPORT (CTR) — FINCEN FORM 104 All bank | 2 | 2 | 0 | 
1656 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | FinCEN Form 104 (formerly | FinCEN Form 104 (formerly named IRS Form 4789) is prepared b | 2 | 2 | 0 | 
1657 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | Under Title 31, U.S.C., s | Under Title 31, U.S.C., section 5313, the Treasury Departmen | 2 | 2 | 0 | 
1658 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | The Treasury Department c | The Treasury Department can also provide discretionary exemp | 0 | 2 | 0 | 
1659 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | A copy of Form 104 is inc | A copy of Form 104 is included at the end of this chapter. | 1 | 4 | 0 | 
1660 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | CURRENCY REPORTS BY CASIN | CURRENCY REPORTS BY CASINOS — FINCEN FORM 102 Form 102 (form | 1 | 1 | 0 | 
1661 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | CURRENCY REPORTS BY NON-F | CURRENCY REPORTS BY NON-FINANCIAL BUSINESSES — IRS FORM 8300 | 3 | 2 | 0 | 
1662 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | This section does not app | This section does not apply to financial institutions, which | 1 | 1 | 0 | 
1663 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | The information required | The information required to be reported under section 5331 i | 2 | 2 | 0 | 
1664 | Money Laundering 16 | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Title II — Reporting and Recordkeeping | 51 | 16 | Under the Internal Revenu | Under the Internal Revenue Code, there are both civil and cr | 2 | 2 | 0 | 
