rid|qid|dr|nwic|llcs|icp|opt1|opt2|opt3|opt4|pid|pass
2067|Securities Fraud 19|5|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Additionally, the revelat|Additionally, the revelation of the prevalence of backdating
2068|Securities Fraud 19|6|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Standards for Audit Commi|Standards for Audit Committee Independence AUDIT COMMITTEE R
2069|Securities Fraud 19|6|2|3|0|Internal controls|Audit committee|Material misstatements|Personal loans|COMPOSITION OF THE AUDIT|COMPOSITION OF THE AUDIT COMMITTEE The Sarbanes-Oxley Act ma
2070|Securities Fraud 19|6|3|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|FINANCIAL EXPERT  Section|FINANCIAL EXPERT  Section 407 of the Act requires every publ
2071|Securities Fraud 19|6|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|ESTABLISHING A WHISTLEBLO|ESTABLISHING A WHISTLEBLOWING STRUCTURE The Act makes it the
2072|Securities Fraud 19|7|3|3|0|Internal controls|Audit committee|Material misstatements|Personal loans|Protections for Corporate|Protections for Corporate Whistleblowers Under Sarbanes-Oxle
2073|Securities Fraud 19|7|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|CIVIL LIABILITY WHISTLEBL|CIVIL LIABILITY WHISTLEBLOWER PROTECTION Section 806 of the 
2074|Securities Fraud 19|7|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The whistleblower protect|The whistleblower protections apply even if the company is u
2075|Securities Fraud 19|7|1|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|If a public company is fo|If a public company is found to have violated § 806, the Act
2076|Securities Fraud 19|7|2|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|CRIMINAL SANCTION WHISTLE|CRIMINAL SANCTION WHISTLEBLOWER PROTECTION  Section 1107 of 
2077|Securities Fraud 19|7|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Additionally, the Act cod|Additionally, the Act codified three criminal offenses to Ti
2078|Securities Fraud 19|7|1|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|In general, the coverage|In general, the coverage of § 1107 is much  broader than the
2079|Securities Fraud 19|7|1|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Violations of § 1107 can|Violations of § 1107 can be punished by fines of up to $250,
2080|Securities Fraud 19|8|3|3|0|Internal controls|Audit committee|Material misstatements|Personal loans|OFF-BALANCE SHEET  TRANSA|OFF-BALANCE SHEET  TRANSACTIONS The Sarbanes-Oxley Act direc
2081|Securities Fraud 19|8|1|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|PRO FORMA FINANCIAL INFOR|PRO FORMA FINANCIAL INFORMATION Section 401 also directed th
2082|Securities Fraud 19|8|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|PROHIBITIONS ON PERSONAL|PROHIBITIONS ON PERSONAL LOANS TO EXECUTIVES Section 402 mak
2083|Securities Fraud 19|8|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|RESTRICTIONS ON INSIDER T|RESTRICTIONS ON INSIDER TRADING Section 403 establishes disc
2084|Securities Fraud 19|8|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Under § 306, directors an|Under § 306, directors and officers are also prohibited from
2085|Securities Fraud 19|8|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2086|Securities Fraud 19|8|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|ENHANCED REVIEW OF PERIOD|ENHANCED REVIEW OF PERIODIC FILINGS Section 408 of the Act n
2087|Securities Fraud 19|8|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|REAL TIME DISCLOSURES  Un|REAL TIME DISCLOSURES  Under § 409, public companies must pu
2088|Securities Fraud 19|9|3|4|0|Internal controls|Audit committee|Material misstatements|Personal loans|CRIMINAL CERTIFICATIONS (|CRIMINAL CERTIFICATIONS (§ 906) Periodic filings with the SE
2089|Securities Fraud 19|10|2|3|0|Internal controls|Audit committee|Material misstatements|Personal loans|Investment Company Act of|Investment Company Act of 1940 Under the Investment Company 
2090|Securities Fraud 19|10|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Although there are crimin|Although there are criminal penalties attached to violations
2091|Securities Fraud 19|10|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Securities Fraud  Financi|Securities Fraud  Financial Transactions   1.1504           
2092|Securities Fraud 19|11|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Other Criminal Penalties|Other Criminal Penalties  SECURITIES FRAUD  Section 807 of t
2093|Securities Fraud 19|12|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|INSIDER TRADING RULES Rul|INSIDER TRADING RULES Rule 10b-5, promulgated under section 
2094|Securities Fraud 19|12|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|However, 10b-5 claims do|However, 10b-5 claims do have certain limitations. For examp
2095|Securities Fraud 19|12|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|In Stoneridge, a group of|In Stoneridge, a group of investors in Charter Communication
2096|Securities Fraud 19|12|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The interesting thing abo|The interesting thing about the Stoneridge decision is that 
2097|Securities Fraud 19|12|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The SEC also recently iss|The SEC also recently issued Rule 10b5-1 and Rule 10b5-2 to 
2098|Securities Fraud 19|12|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Securities Fraud  Financi|Securities Fraud  Financial Transactions   1.1542           
2099|Securities Fraud 19|12|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Recently, the SEC indicat|Recently, the SEC indicated that it intends to scrutinize pl
2100|Securities Fraud 19|12|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Rule 10b5-2 addresses the|Rule 10b5-2 addresses the issue of when a breach of a family
2101|Securities Fraud 19|12|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Rule 10b5-2 seeks to prov|Rule 10b5-2 seeks to provide further guidance regarding what
2102|Securities Fraud 19|12|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Subsection (b)(3) also cr|Subsection (b)(3) also creates a presumption that any person
2103|Securities Fraud 19|13|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Securities Exchange Act o|Securities Exchange Act of 1934 Unlike the 1933 Act, the Sec
2104|Securities Fraud 19|13|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The 1934 Act contains sec|The 1934 Act contains section 10(b), a comprehensive anti-fr
2105|Securities Fraud 19|13|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|It shall be unlawful for|It shall be unlawful for any person, directly or indirectly,
2106|Securities Fraud 19|13|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|(1)  to employ any device|(1)  to employ any device, scheme or artifice to defraud,
2107|Securities Fraud 19|13|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|(2)  to make any untrue s|(2)  to make any untrue statement of a material fact or to o
2108|Securities Fraud 19|14|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Front Running — Dual Trad|Front Running — Dual Trading Front running an order is a typ
2109|Securities Fraud 19|14|1|3|0|Internal controls|Audit committee|Material misstatements|Personal loans|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2110|Securities Fraud 19|14|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The vast majority of exch|The vast majority of exchange members would never put themse
2111|Securities Fraud 19|15|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Insider Trading Under the|Insider Trading Under the legal theory of misappropriation, 
2112|Securities Fraud 19|15|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|According to federal offi|According to federal officials, the psychotherapist bought c
2113|Securities Fraud 19|15|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Under a legal doctrine kn|Under a legal doctrine known as the misappropriation theory,
2114|Securities Fraud 19|16|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|HEDGE FUNDS Although ther|HEDGE FUNDS Although there is no statutory or regulatory def
2115|Securities Fraud 19|16|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|In the past few years, th|In the past few years, the U.S. securities market has seen a
2116|Securities Fraud 19|16|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|With the enormous growth|With the enormous growth in the hedge fund industry, adviser
2117|Securities Fraud 19|17|2|3|0|Internal controls|Audit committee|Material misstatements|Personal loans|Investment Advisor Act of|Investment Advisor Act of 1940 Registered securities dealers
2118|Securities Fraud 19|18|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|State Regulation The firs|State Regulation The first state securities laws of any subs
2119|Securities Fraud 19|18|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The initial steps taken i|The initial steps taken in Kansas to regulate the securities
2120|Securities Fraud 19|18|1|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The revised Uniform Act h|The revised Uniform Act has four parts: • Regulation of brok
2121|Securities Fraud 19|18|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|To simplify to a general|To simplify to a general rule of thumb, unless certain exemp
2122|Securities Fraud 19|18|1|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|As long as there is no co|As long as there is no conflict with federal laws, each stat
2123|Securities Fraud 19|19|2|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|Exemptions Examples of ex|Exemptions Examples of exemptions under the 1933 Act include
2124|Securities Fraud 19|19|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Issuance of securities un|Issuance of securities undertaken pursuant to Rules 501 thro
2125|Securities Fraud 19|19|0|2|0|Internal controls|Audit committee|Material misstatements|Personal loans|The most relied upon exem|The most relied upon exemption from registration where we ar
2126|Securities Fraud 19|19|0|0|0|Internal controls|Audit committee|Material misstatements|Personal loans|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2127|Securities Fraud 19|20|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Newsletters In this conte|Newsletters In this context, a newsletter is not an independ
2128|Securities Fraud 19|20|1|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Securities Fraud  Financi|Securities Fraud  Financial Transactions   1.1550           
2129|Securities Fraud 19|20|0|1|0|Internal controls|Audit committee|Material misstatements|Personal loans|Usually, information will|Usually, information will be gathered on those who subscribe
2130|Securities Fraud 20|1|0|1|0|Seven|Fifteen|Ten|Three|SECURITIES FRAUD (TITLE 1|SECURITIES FRAUD (TITLE 18, U.S. CODE, § 1348) Whoever knowi
2131|Securities Fraud 20|1|2|2|0|Seven|Fifteen|Ten|Three|(1) to defraud any person|(1) to defraud any person in connection with any security of
2132|Securities Fraud 20|1|2|2|0|Seven|Fifteen|Ten|Three|(2) to obtain, by means o|(2) to obtain, by means of false or fraudulent  pretenses, r
2133|Securities Fraud 20|1|1|1|0|Seven|Fifteen|Ten|Three|shall be fined under this|shall be fined under this title, or imprisoned not more than
2134|Securities Fraud 20|1|4|4|0|Seven|Fifteen|Ten|Three|DOCUMENT DESTRUCTION  Sec|DOCUMENT DESTRUCTION  Section 802 of the Act makes destroyin
2135|Securities Fraud 20|1|18|20|1|Seven|Fifteen|Ten|Three|The final rules adopted b|The final rules adopted by the SEC under section 802 specifi
2136|Securities Fraud 20|1|3|2|0|Seven|Fifteen|Ten|Three|Section 1102 of the Act a|Section 1102 of the Act amends § 1512 of the U.S. Code to ma
2137|Securities Fraud 20|1|3|2|0|Seven|Fifteen|Ten|Three|FREEZING OF ASSETS During|FREEZING OF ASSETS During an investigation of possible secur
2138|Securities Fraud 20|1|1|1|0|Seven|Fifteen|Ten|Three|BANKRUPTCY LOOPHOLES Sect|BANKRUPTCY LOOPHOLES Section 803 amends the bankruptcy code 
2139|Securities Fraud 20|1|5|4|0|Seven|Fifteen|Ten|Three|DISGORGEMENT OF BONUSES O|DISGORGEMENT OF BONUSES One of the most unique aspects of th
2140|Securities Fraud 20|1|1|1|0|Seven|Fifteen|Ten|Three|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2141|Securities Fraud 20|2|3|3|0|Seven|Fifteen|Ten|Three|Protections for Corporate|Protections for Corporate Whistleblowers Under Sarbanes-Oxle
2142|Securities Fraud 20|2|7|3|0|Seven|Fifteen|Ten|Three|CIVIL LIABILITY WHISTLEBL|CIVIL LIABILITY WHISTLEBLOWER PROTECTION Section 806 of the 
2143|Securities Fraud 20|2|0|2|0|Seven|Fifteen|Ten|Three|The whistleblower protect|The whistleblower protections apply even if the company is u
2144|Securities Fraud 20|2|1|1|0|Seven|Fifteen|Ten|Three|If a public company is fo|If a public company is found to have violated § 806, the Act
2145|Securities Fraud 20|2|2|1|0|Seven|Fifteen|Ten|Three|CRIMINAL SANCTION WHISTLE|CRIMINAL SANCTION WHISTLEBLOWER PROTECTION  Section 1107 of 
2146|Securities Fraud 20|2|7|6|0|Seven|Fifteen|Ten|Three|Additionally, the Act cod|Additionally, the Act codified three criminal offenses to Ti
2147|Securities Fraud 20|2|7|3|0|Seven|Fifteen|Ten|Three|In general, the coverage|In general, the coverage of § 1107 is much  broader than the
2148|Securities Fraud 20|2|2|1|0|Seven|Fifteen|Ten|Three|Violations of § 1107 can|Violations of § 1107 can be punished by fines of up to $250,
2149|Securities Fraud 20|3|7|3|0|Seven|Fifteen|Ten|Three|OFF-BALANCE SHEET  TRANSA|OFF-BALANCE SHEET  TRANSACTIONS The Sarbanes-Oxley Act direc
2150|Securities Fraud 20|3|3|2|0|Seven|Fifteen|Ten|Three|PRO FORMA FINANCIAL INFOR|PRO FORMA FINANCIAL INFORMATION Section 401 also directed th
2151|Securities Fraud 20|3|2|2|0|Seven|Fifteen|Ten|Three|PROHIBITIONS ON PERSONAL|PROHIBITIONS ON PERSONAL LOANS TO EXECUTIVES Section 402 mak
2152|Securities Fraud 20|3|5|2|0|Seven|Fifteen|Ten|Three|RESTRICTIONS ON INSIDER T|RESTRICTIONS ON INSIDER TRADING Section 403 establishes disc
2153|Securities Fraud 20|3|1|2|0|Seven|Fifteen|Ten|Three|Under § 306, directors an|Under § 306, directors and officers are also prohibited from
2154|Securities Fraud 20|3|4|2|0|Seven|Fifteen|Ten|Three|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2155|Securities Fraud 20|3|6|2|0|Seven|Fifteen|Ten|Three|ENHANCED REVIEW OF PERIOD|ENHANCED REVIEW OF PERIODIC FILINGS Section 408 of the Act n
2156|Securities Fraud 20|3|2|2|0|Seven|Fifteen|Ten|Three|REAL TIME DISCLOSURES  Un|REAL TIME DISCLOSURES  Under § 409, public companies must pu
2157|Securities Fraud 20|4|6|2|0|Seven|Fifteen|Ten|Three|Standards for Audit Commi|Standards for Audit Committee Independence AUDIT COMMITTEE R
2158|Securities Fraud 20|4|4|3|0|Seven|Fifteen|Ten|Three|COMPOSITION OF THE AUDIT|COMPOSITION OF THE AUDIT COMMITTEE The Sarbanes-Oxley Act ma
2159|Securities Fraud 20|4|5|2|0|Seven|Fifteen|Ten|Three|FINANCIAL EXPERT  Section|FINANCIAL EXPERT  Section 407 of the Act requires every publ
2160|Securities Fraud 20|4|2|2|0|Seven|Fifteen|Ten|Three|ESTABLISHING A WHISTLEBLO|ESTABLISHING A WHISTLEBLOWING STRUCTURE The Act makes it the
2161|Securities Fraud 20|5|5|3|0|Seven|Fifteen|Ten|Three|The Sarbanes-Oxley Act  T|The Sarbanes-Oxley Act  The Sarbanes-Oxley Act of 2002 is on
2162|Securities Fraud 20|5|3|2|0|Seven|Fifteen|Ten|Three|The most significant chan|The most significant changes brought on by the Act include: 
2163|Securities Fraud 20|5|3|2|0|Seven|Fifteen|Ten|Three|The Act is discussed in d|The Act is discussed in detail in the Law Related to Fraud” 
2164|Securities Fraud 20|6|3|2|0|Seven|Fifteen|Ten|Three|CIVIL CERTIFICATIONS (§ 3|CIVIL CERTIFICATIONS (§ 302) Section 302 of the Act requires
2165|Securities Fraud 20|6|2|2|0|Seven|Fifteen|Ten|Three|Note that in items 2 and|Note that in items 2 and 3 the CEO and CFO are not required 
2166|Securities Fraud 20|6|1|1|0|Seven|Fifteen|Ten|Three|It is significant that in|It is significant that in item 4, the CEO and CFO not only h
2167|Securities Fraud 20|6|1|2|0|Seven|Fifteen|Ten|Three|In conjunction with the §|In conjunction with the § 302 certification requirements on 
2168|Securities Fraud 20|6|3|1|0|Seven|Fifteen|Ten|Three|Item 5 requires the CEO a|Item 5 requires the CEO and CFO to certify that they have di
2169|Securities Fraud 20|6|4|3|0|Seven|Fifteen|Ten|Three|Item 6 is significant bec|Item 6 is significant because periodic SEC filings must now 
2170|Securities Fraud 20|7|4|3|0|Seven|Fifteen|Ten|Three|Certification Obligations|Certification Obligations for CEOs and CFOs One of the most 
2171|Securities Fraud 20|7|3|2|0|Seven|Fifteen|Ten|Three|There are two types of of|There are two types of officer certifications mandated by Sa
2172|Securities Fraud 20|7|0|0|0|Seven|Fifteen|Ten|Three|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2173|Securities Fraud 20|8|1|2|0|Seven|Fifteen|Ten|Three|Backdating Stock Options|Backdating Stock Options As a supplement to salary, companie
2174|Securities Fraud 20|8|1|2|0|Seven|Fifteen|Ten|Three|In this way, companies gr|In this way, companies grant stock options as an incentive f
2175|Securities Fraud 20|8|0|2|0|Seven|Fifteen|Ten|Three|For example, on June 1, 2|For example, on June 1, 2008, Company XYZ grants its CEO a s
2176|Securities Fraud 20|8|1|2|0|Seven|Fifteen|Ten|Three|Backdating stock options|Backdating stock options came to the attention of the U.S. S
2177|Securities Fraud 20|8|4|3|0|Seven|Fifteen|Ten|Three|In August of 2002, certai|In August of 2002, certain provisions laid out under the Sar
2178|Securities Fraud 20|8|2|2|0|Seven|Fifteen|Ten|Three|Additionally, the revelat|Additionally, the revelation of the prevalence of backdating
2179|Securities Fraud 20|9|3|2|0|Seven|Fifteen|Ten|Three|CRIMINAL CERTIFICATIONS (|CRIMINAL CERTIFICATIONS (§ 906) Periodic filings with the SE
2180|Securities Fraud 20|10|4|2|0|Seven|Fifteen|Ten|Three|INSIDER TRADING RULES Rul|INSIDER TRADING RULES Rule 10b-5, promulgated under section 
2181|Securities Fraud 20|10|0|1|0|Seven|Fifteen|Ten|Three|However, 10b-5 claims do|However, 10b-5 claims do have certain limitations. For examp
2182|Securities Fraud 20|10|0|2|0|Seven|Fifteen|Ten|Three|In Stoneridge, a group of|In Stoneridge, a group of investors in Charter Communication
2183|Securities Fraud 20|10|1|1|0|Seven|Fifteen|Ten|Three|The interesting thing abo|The interesting thing about the Stoneridge decision is that 
2184|Securities Fraud 20|10|3|2|0|Seven|Fifteen|Ten|Three|The SEC also recently iss|The SEC also recently issued Rule 10b5-1 and Rule 10b5-2 to 
2185|Securities Fraud 20|10|0|1|0|Seven|Fifteen|Ten|Three|Securities Fraud  Financi|Securities Fraud  Financial Transactions   1.1542           
2186|Securities Fraud 20|10|1|2|0|Seven|Fifteen|Ten|Three|Recently, the SEC indicat|Recently, the SEC indicated that it intends to scrutinize pl
2187|Securities Fraud 20|10|0|2|0|Seven|Fifteen|Ten|Three|Rule 10b5-2 addresses the|Rule 10b5-2 addresses the issue of when a breach of a family
2188|Securities Fraud 20|10|0|1|0|Seven|Fifteen|Ten|Three|Rule 10b5-2 seeks to prov|Rule 10b5-2 seeks to provide further guidance regarding what
2189|Securities Fraud 20|10|0|1|0|Seven|Fifteen|Ten|Three|Subsection (b)(3) also cr|Subsection (b)(3) also creates a presumption that any person
2190|Securities Fraud 20|11|3|2|0|Seven|Fifteen|Ten|Three|Other Criminal Penalties|Other Criminal Penalties  SECURITIES FRAUD  Section 807 of t
2191|Securities Fraud 20|12|1|2|0|Seven|Fifteen|Ten|Three|Exemptions Examples of ex|Exemptions Examples of exemptions under the 1933 Act include
2192|Securities Fraud 20|12|3|1|0|Seven|Fifteen|Ten|Three|Issuance of securities un|Issuance of securities undertaken pursuant to Rules 501 thro
2193|Securities Fraud 20|12|1|2|0|Seven|Fifteen|Ten|Three|The most relied upon exem|The most relied upon exemption from registration where we ar
2194|Securities Fraud 20|12|0|0|0|Seven|Fifteen|Ten|Three|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2195|Securities Fraud 20|13|2|1|0|Seven|Fifteen|Ten|Three|Self-Regulatory Organizat|Self-Regulatory Organizations SEC delegates significant regu
2196|Securities Fraud 20|13|1|1|0|Seven|Fifteen|Ten|Three|The Maloney Act of 1938 a|The Maloney Act of 1938 amended the Securities Exchange Act 
2197|Securities Fraud 20|13|0|2|0|Seven|Fifteen|Ten|Three|In 2007, the Financial In|In 2007, the Financial Industry Regulatory Authority (FINRA)
2198|Securities Fraud 20|13|1|2|0|Seven|Fifteen|Ten|Three|FINRA touches virtually e|FINRA touches virtually every aspect of the securities busin
2199|Securities Fraud 20|13|1|2|0|Seven|Fifteen|Ten|Three|Securities Fraud  Financi|Securities Fraud  Financial Transactions   1.1514           
2200|Securities Fraud 20|14|2|2|0|Seven|Fifteen|Ten|Three|Securities Exchange Act o|Securities Exchange Act of 1934 Unlike the 1933 Act, the Sec
2201|Securities Fraud 20|14|4|2|0|Seven|Fifteen|Ten|Three|The 1934 Act contains sec|The 1934 Act contains section 10(b), a comprehensive anti-fr
2202|Securities Fraud 20|14|0|2|0|Seven|Fifteen|Ten|Three|It shall be unlawful for|It shall be unlawful for any person, directly or indirectly,
2203|Securities Fraud 20|14|0|1|0|Seven|Fifteen|Ten|Three|(1)  to employ any device|(1)  to employ any device, scheme or artifice to defraud,
2204|Securities Fraud 20|14|1|2|0|Seven|Fifteen|Ten|Three|(2)  to make any untrue s|(2)  to make any untrue statement of a material fact or to o
2205|Securities Fraud 20|15|2|2|0|Seven|Fifteen|Ten|Three|National Securities Marke|National Securities Markets Improvement Act of 1996  The mos
2206|Securities Fraud 20|15|1|1|0|Seven|Fifteen|Ten|Three|Three main changes that a|Three main changes that are of particular importance: • So c
2207|Securities Fraud 20|16|3|2|0|Seven|Fifteen|Ten|Three|Investment Company Act of|Investment Company Act of 1940 Under the Investment Company 
2208|Securities Fraud 20|16|1|2|0|Seven|Fifteen|Ten|Three|Although there are crimin|Although there are criminal penalties attached to violations
2209|Securities Fraud 20|16|1|2|0|Seven|Fifteen|Ten|Three|Securities Fraud  Financi|Securities Fraud  Financial Transactions   1.1504           
2210|Securities Fraud 20|17|2|1|0|Seven|Fifteen|Ten|Three|Investment Advisor Act of|Investment Advisor Act of 1940 Registered securities dealers
2211|Securities Fraud 20|18|1|1|0|Seven|Fifteen|Ten|Three|Over-the-Counter (OTC) Op|Over-the-Counter (OTC) Options OTC options are agreements ma
2212|Securities Fraud 20|18|1|2|0|Seven|Fifteen|Ten|Three|OTC options are not centr|OTC options are not centrally cleared or standardized. These
2213|Securities Fraud 20|18|1|1|0|Seven|Fifteen|Ten|Three|OTC options can be plain|OTC options can be plain vanilla, complex, or exotic. The co
2214|Securities Fraud 20|19|1|2|0|Seven|Fifteen|Ten|Three|Systematically Trading Ac|Systematically Trading Accounts Against Each Other Systemati
2215|Securities Fraud 20|19|0|1|0|Seven|Fifteen|Ten|Three|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2216|Securities Fraud 20|19|0|2|0|Seven|Fifteen|Ten|Three|Over time one of the pool|Over time one of the pools will suffer a loss while the othe
2217|Securities Fraud 20|19|0|2|0|Seven|Fifteen|Ten|Three|In the long run, one of t|In the long run, one of the investment pools will dissolve b
2218|Securities Fraud 20|19|0|1|0|Seven|Fifteen|Ten|Three|Supervisors and complianc|Supervisors and compliance managers of brokerages should be 
2219|Securities Fraud 20|19|1|1|0|Seven|Fifteen|Ten|Three|The general partner would|The general partner would have committed a material breach o
2220|Securities Fraud 20|20|0|2|0|Seven|Fifteen|Ten|Three|Block Order Schemes When|Block Order Schemes When several different accounts are comb
2221|Securities Fraud 20|20|0|1|0|Seven|Fifteen|Ten|Three|The potential for abuse i|The potential for abuse is obvious. Prices move rapidly in v
2222|Securities Fraud 20|20|0|1|0|Seven|Fifteen|Ten|Three|For example, assume that|For example, assume that 100 contracts of December cattle we
2223|Securities Fraud 20|20|2|2|0|Seven|Fifteen|Ten|Three|Proving such a scheme is|Proving such a scheme is easy. The CFE will need to obtain 1
2224|Securities Fraud 20|20|0|0|0|Seven|Fifteen|Ten|Three|Financial Transactions  S|Financial Transactions  Securities Fraud 2011 Fraud Examiner
2225|Securities Fraud 21|1|2|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Standards for Audit Commi|Standards for Audit Committee Independence AUDIT COMMITTEE R
2226|Securities Fraud 21|1|1|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|COMPOSITION OF THE AUDIT|COMPOSITION OF THE AUDIT COMMITTEE The Sarbanes-Oxley Act ma
2227|Securities Fraud 21|1|5|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|FINANCIAL EXPERT  Section|FINANCIAL EXPERT  Section 407 of the Act requires every publ
2228|Securities Fraud 21|1|15|14|1|Audit committee|Internal auditor|Board of directors|Chief executive officer|ESTABLISHING A WHISTLEBLO|ESTABLISHING A WHISTLEBLOWING STRUCTURE The Act makes it the
2229|Securities Fraud 21|2|4|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|CIVIL CERTIFICATIONS (§ 3|CIVIL CERTIFICATIONS (§ 302) Section 302 of the Act requires
2230|Securities Fraud 21|2|3|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Note that in items 2 and|Note that in items 2 and 3 the CEO and CFO are not required 
2231|Securities Fraud 21|2|3|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|It is significant that in|It is significant that in item 4, the CEO and CFO not only h
2232|Securities Fraud 21|2|5|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|In conjunction with the §|In conjunction with the § 302 certification requirements on 
2233|Securities Fraud 21|2|2|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Item 5 requires the CEO a|Item 5 requires the CEO and CFO to certify that they have di
2234|Securities Fraud 21|2|2|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Item 6 is significant bec|Item 6 is significant because periodic SEC filings must now 
2235|Securities Fraud 21|3|1|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Protections for Corporate|Protections for Corporate Whistleblowers Under Sarbanes-Oxle
2236|Securities Fraud 21|3|2|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|CIVIL LIABILITY WHISTLEBL|CIVIL LIABILITY WHISTLEBLOWER PROTECTION Section 806 of the 
2237|Securities Fraud 21|3|1|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|The whistleblower protect|The whistleblower protections apply even if the company is u
2238|Securities Fraud 21|3|2|1|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|If a public company is fo|If a public company is found to have violated § 806, the Act
2239|Securities Fraud 21|3|0|1|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|CRIMINAL SANCTION WHISTLE|CRIMINAL SANCTION WHISTLEBLOWER PROTECTION  Section 1107 of 
2240|Securities Fraud 21|3|2|2|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Additionally, the Act cod|Additionally, the Act codified three criminal offenses to Ti
2241|Securities Fraud 21|3|0|1|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|In general, the coverage|In general, the coverage of § 1107 is much  broader than the
2242|Securities Fraud 21|3|1|1|0|Audit committee|Internal auditor|Board of directors|Chief executive officer|Violations of § 1107 can|Violations of § 1107 can be punished by fines of up to $250,
